accountsservice 26.13.3-1.1
alacritty 0.17.0-1.2
alsa-firmware 1.2.4-4
alsa-plugins 1:1.2.12-5.1
alsa-utils 1.2.15.2-2.1
amdgpu_top 0.11.4-1.1
ark 26.04.1-1.1
awesome-terminal-fonts 1.1.0-5
base 3-3
base-devel 1-2
bash-completion 2.17.0-3
bc 1.08.2-1.1
bind 9.20.22-1.1
blesh 0.3.4-5
bluetui 0.8.1-2.1
bluez 5.86-6.1
bluez-hid2hci 5.86-6.1
bluez-libs 5.86-6.1
bluez-obex 5.86-6.1
bluez-utils 5.86-6.1
btop 1.4.7-1.1
btrfs-assistant 2.2-5.1
btrfs-progs 7.0-1
cachyos-fish-config 15-1
cachyos-gaming-meta 1:1.0.0-7
cachyos-hello 0.24.0-1
cachyos-hooks 2026.02.05-1
cachyos-kde-settings 4.9-8
cachyos-kernel-manager 1.18.0-1
cachyos-keyring 20240331-1
cachyos-micro-settings 1.0.0-1
cachyos-mirrorlist 27-1
cachyos-packageinstaller 1.6.2-1
cachyos-plymouth-bootanimation 2-3
cachyos-rate-mirrors 23-1
cachyos-settings 1:1.3.5-1
cachyos-snapper-support 1.0.2-1
cachyos-v3-mirrorlist 27-1
cachyos-v4-mirrorlist 27-1
cachyos-wallpapers r23.964263e-1
cachyos-zsh-config 1.0.3-1
cage 0.3.0-1.1
cantarell-fonts 1:0.311-1
chromium 148.0.7778.167-1.1
chwd 1.21.0-1
code 1.119.0-1.1
converseen 0.15.2.3-1.1
cpio 2.15-3.1
cpupower 7.0.6-1
cryptsetup 2.8.6-1.1
cups 2:2.4.19-1
cups-filters 2.0.1-2.1
cups-pdf 3.0.3-1.1
device-mapper 2.03.40-1.1
diffutils 3.12-2.1
discord 1:1.0.138-1
discover 6.6.5-1.1
dmidecode 3.7-1
dmraid 1.0.0.rc16.3-15.1
dnsmasq 2.92.rel2-1.1
dolphin 26.04.1-1.1
dosfstools 4.2-5.1
dotnet-sdk-bin 10.0.7.sdk203-1
duf 0.9.1-1.1
e2fsprogs 1.47.4-1.1
efibootmgr 18-4.1
efitools 1.9.2-7.1
elephant-calc-bin 2.19.1-1
elephant-clipboard-bin 2.19.1-1
elephant-desktopapplications-bin 2.19.1-1
elephant-files-bin 2.19.1-1
elephant-providerlist-bin 2.19.1-1
elephant-symbols-bin 2.19.1-1
elephant-websearch-bin 2.19.1-1
ethtool 1:7.0-1.1
ex-vi-compat 2-1
exfatprogs 1.3.2-1.1
f2fs-tools 1.16.0-3.1
fastfetch 2.63.1-1.1
ffmpegthumbnailer 2.3.0-1.1
firefox 150.0.3-1
fprintd 1.94.5-2.1
fsarchiver 0.8.9-1.1
ghostty 1.3.1-2.2
git 2.54.0-1.1
github-cli 2.92.0-1.1
glances 4.5.4-1
grim 1.5.0-2.1
gst-libav 1.28.3-1
gst-plugin-pipewire 1:1.6.5-1.1
gst-plugin-va 1.28.3-1
gst-plugins-bad 1.28.3-1
gst-plugins-ugly 1.28.3-1
gum 0.17.0-1.1
hdparm 9.65-3.1
heroic-games-launcher-bin 2.21.0-1
hplip 1:3.25.8-6.1
hwdetect 2025.08.16.1333-1
hwinfo 25.2-1.1
hypridle 0.1.7-9.1
hyprland 0.55.1-1.1
hyprlock 0.9.5-2.1
hyprpicker 0.4.7-1.1
hyprpolkitagent 0.1.3-7.1
impala 0.7.4-1.1
inetutils 2.8-1.1
intel-media-driver 26.1.5-1.1
intel-media-sdk 23.2.2-6
intel-ucode 20260512-1
iptables 1:1.8.13-1.1
iwd 3.12-1.1
jfsutils 1.1.15-9.1
keeper-password-manager 17.5.0-1
kitty 0.46.2-1.2
konsave 2.3.0-1
less 1:692-1.1
lib32-mangohud 0.8.3-1
lib32-mesa 2:26.1.0-1
lib32-opencl-mesa 2:26.1.0-1
